"","cleaned","KrakkenPrice","CoinbasePrice","gtrendLiteCrash","gtrendEtherCrash","gtrendEtherBubble","gtrendEther","gtrendBitcoinPrice","gtrendBitcoinTether","gtrendBitcoinBubble","gtrendBitcoin","GSPC_Adjusted","GSPC_Volume","GSPC_Close","GSPC_Low","GSPC_High","GSPC_Open","VIX_Adjusted","VIX_Close","VIX_Low","VIX_High","VIX_Open","GOLD_Adjusted","GOLD_Volume","GOLD_Close","GOLD_Low","GOLD_High","GOLD_Open","BTCUSDX_Adjusted","BTCUSDX_Volume","BTCUSDX_Close","BTCUSDX_Low","BTCUSDX_High","BTCUSDX_Open","BTC_LTC_Adjusted","BTC_LTC_Volume","BTC_LTC_Close","BTC_LTC_Low","BTC_LTC_High","BTC_LTC_Open","BTC_ETH_Adjusted","BTC_ETH_Volume","BTC_ETH_Close","BTC_ETH_Low","BTC_ETH_High","BTC_ETH_Open","article","total_bing","total_nrc","total_afinn","total_syuzhet","maturity","count_art_4","count_art_24","bubble","tether","hack","crisis","record","fork","Country_Mention","Country_TOP_Mention","Country_Indexe1_1_afinn","Country_Indexe1_1_bing","Country_Indexe1_1_syuzhet","Country_Indexe1_1_nrc","Country_Indexe1_2_afinn","Country_Indexe1_2_bing","Country_Indexe1_2_syuzhet","Country_Indexe1_2_nrc","Bloomberg","Bitcoin.News","China.Daily","CNBC","Coin.Desk","Facebook.BTC.Group","Facebook.Search","Free.Republic","Google.Finance","Redit.BTC.All","Redit.BTC.Mining","Reuters","South.China.Morning.Post","Twitter","Yahoo.News","Youtube","Zero.Hedge","Wall.Street.Journal","Redit.BTC.Bay","Redit.BTC.Markets","Redit.Crypto","BBC","Google.Plus","India.Economic.Times.","Crypto.Coin.News","Redit.BTC.XT","Fortune","AveragedExchange"
"200",2017-12-04 15:53:00,11370.6714285714,11377.0835714286,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,36948.0535714286,-0.0357142857142857,0.25,0.285714285714286,0.100892857142857,73.9805453243639,407.446428571429,2237.82142857143,69,12,4,5,30,8,0.0357142857142857,0.0178571428571429,2,3.66666666666667,3.5,0.666666666666667,0,-0.0178571428571429,0.00982142857142857,0.0178571428571429,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.214285714285714,-0.928571428571429,-0.928571428571429,-1,-0.642857142857143,-0.964285714285714,-0.964285714285714,-0.964285714285714,-1,-1,-1,-0.821428571428571,-1,-1,-1,-1,-1,-1,11373.8775
"201",2017-12-04 16:23:00,11361.41875,11340.37890625,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,28574.234375,0.21875,0.453125,0.328125,0.3171875,73.9585051871284,398.5,2216.5,69,12,4,5,30,8,0.046875,0.015625,2,3.66666666666667,3.5,0.666666666666667,0,0.015625,0.01171875,0.015625,-1,-1,-1,-0.96875,-0.96875,-1,-0.9375,-1,-0.9375,0.25,-1,-1,-1,-0.65625,-1,-0.90625,-0.96875,-1,-1,-0.9375,-0.96875,-1,-1,-1,-1,-1,-1,11350.898828125
"202",2017-12-04 16:53:00,11334.7065217391,11328.21,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,35710.5,-0.0869565217391304,0.543478260869565,0.0652173913043478,0.283695652173913,73.9381594745681,399.760869565217,2213.58695652174,69,12,4,5,30,8,0.0217391304347826,0,2,3.66666666666667,3.5,0.666666666666667,0.0217391304347826,0,-0.00652173913043478,0,-1,-1,-1,-0.91304347826087,-1,-1,-1,-1,-1,0.130434782608696,-1,-1,-1,-0.434782608695652,-0.956521739130435,-0.91304347826087,-1,-1,-1,-0.956521739130435,-0.956521739130435,-1,-1,-1,-1,-1,-1,11331.4582608696
"203",2017-12-04 17:23:00,11370.1614285714,11364.7375714286,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,32461.5142857143,0.2,0.242857142857143,0.128571428571429,0.142857142857143,73.9172156699327,408.5,2218.5,69,12,4,5,30,8,0.0285714285714286,0.0285714285714286,2,3.66666666666667,3.5,0.666666666666667,0,0,-0.0142857142857143,-0.0285714285714286,-1,-0.971428571428571,-1,-1,-0.971428571428571,-1,-0.971428571428571,-1,-0.942857142857143,0.2,-1,-1,-1,-0.6,-1,-0.971428571428571,-0.971428571428571,-1,-1,-0.914285714285714,-0.885714285714286,-1,-1,-1,-1,-1,-1,11367.4495
"204",2017-12-04 17:53:00,11318.3,11298.6052,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,24133.38,0.06,0.42,0.12,0.27,73.8975135204618,417.44,2238.02,69,12,4,5,30,8,0.04,0,2,3.66666666666667,3.5,0.666666666666667,0,-0.02,0.011,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-0.88,0.44,-0.88,-1,-1,-0.84,-1,-0.92,-1,-1,-1,-0.96,-0.96,-1,-1,-1,-1,-1,-1,11308.4526
"205",2017-12-04 18:23:00,11228.2098360656,11251.762295082,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,28017.1803278689,0.0491803278688525,0.163934426229508,0,0.135245901639344,73.8753427136919,413,2246,69,12,4,5,30,8,0.0327868852459016,0.0327868852459016,2,3.66666666666667,3.5,0.666666666666667,-0.0327868852459016,0,-0.00819672131147541,-0.0163934426229508,-1,-0.967213114754098,-1,-0.934426229508197,-1,-1,-1,-1,-0.967213114754098,0.344262295081967,-0.901639344262295,-1,-1,-0.836065573770492,-1,-0.967213114754098,-0.967213114754098,-1,-1,-0.836065573770492,-0.967213114754098,-1,-1,-1,-1,-1,-1,11239.9860655738
"206",2017-12-04 18:53:00,11260.6727272727,11318.6663636364,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,31755.5454545455,0.0303030303030303,0.363636363636364,0.393939393939394,0.172727272727273,73.8532012800016,374,2220.33333333333,69,12,4,5,30,8,0,0,2,3.66666666666667,3.5,0.666666666666667,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.393939393939394,-0.818181818181818,-1,-1,-0.878787878787879,-1,-1,-1,-1,-1,-0.939393939393939,-0.757575757575758,-1,-1,-1,-1,-1,-1,11289.6695454545
"207",2017-12-04 19:23:00,11254.6145833333,11299.1079166667,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,20158,-0.0416666666666667,0.208333333333333,-0.25,0.0479166666666667,73.8350512905235,371.5,2224.5,69,12,4,5,30,8,0,0,2,3.66666666666667,3.5,0.666666666666667,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666667,-0.916666666666667,-1,-1,-0.791666666666667,-1,-1,-1,-1,-1,-1,-0.958333333333333,-1,-1,-1,-1,-1,-1,11276.86125
"208",2017-12-04 19:53:00,11336.7046875,11370.5409375,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,27304.109375,-0.25,0.203125,-0.515625,0.0328125,73.8129478231238,371.296875,2224.8125,69,12,4,5,30,8,0,0,2,3.66666666666667,3.5,0.666666666666667,0,0,0,0,-1,-0.96875,-1,-0.96875,-1,-1,-1,-1,-0.9375,0.375,-1,-1,-1,-0.75,-1,-0.84375,-1,-1,-1,-1,-0.90625,-1,-1,-1,-1,-1,-1,11353.6228125
"209",2017-12-04 20:23:00,11457.18125,11496.4122916667,5,22,40,44,29,28,40,35,2639.44,4023150000,2639.44,2639.03,2665.19,2657.19,11.68,11.68,10.26,11.86,11.05,1283.6,135327,1283.6,1277.8,1284.6,1281.5,11494.253,0,11494.253,10752.688,11627.91,10869.565,0.008922,7866,0.008922,0.008622,0.008973,0.008952,24.87,489905,24.87,24.27,24.98,24.28,25887.6666666667,0.5,0.8125,0.729166666666667,0.638541666666667,73.7924148129,374.5,2228.5,69,12,4,5,30,8,0.0416666666666667,0.0208333333333333,2,3.66666666666667,3.5,0.666666666666667,-0.0416666666666667,0,-0.00208333333333333,0,-1,-1,-1,-1,-0.958333333333333,-1,-0.958333333333333,-1,-0.916666666666667,0.375,-1,-1,-0.958333333333333,-0.833333333333333,-1,-0.875,-1,-1,-1,-0.916666666666667,-0.958333333333333,-1,-1,-1,-1,-1,-1,11476.7967708333
