"","rn","gtrendLiteCrash","gtrendEtherCrash","gtrendEtherBubble","gtrendEther","gtrendBitcoinPrice","gtrendBitcoinTether","gtrendBitcoinBubble","gtrendBitcoin","GSPC_Adjusted","GSPC_Volume","GSPC_Close","GSPC_Low","GSPC_High","GSPC_Open","VIX_Adjusted","VIX_Close","VIX_Low","VIX_High","VIX_Open","GOLD_Adjusted","GOLD_Volume","GOLD_Close","GOLD_Low","GOLD_High","GOLD_Open","BTCUSDX_Adjusted","BTCUSDX_Volume","BTCUSDX_Close","BTCUSDX_Low","BTCUSDX_High","BTCUSDX_Open","BTC_LTC_Adjusted","BTC_LTC_Volume","BTC_LTC_Close","BTC_LTC_Low","BTC_LTC_High","BTC_LTC_Open","BTC_ETH_Adjusted","BTC_ETH_Volume","BTC_ETH_Close","BTC_ETH_Low","BTC_ETH_High","BTC_ETH_Open","article","total_bing","total_nrc","total_afinn","total_syuzhet","maturity","count_art_4","count_art_24","bubble","tether","hack","crisis","record","fork","Country_Mention","Country_TOP_Mention","Country_Indexe1_1_afinn","Country_Indexe1_1_bing","Country_Indexe1_1_syuzhet","Country_Indexe1_1_nrc","Country_Indexe1_2_afinn","Country_Indexe1_2_bing","Country_Indexe1_2_syuzhet","Country_Indexe1_2_nrc","Bloomberg","Bitcoin.News","China.Daily","CNBC","Coin.Desk","Facebook.BTC.Group","Facebook.Search","Free.Republic","Google.Finance","Redit.BTC.All","Redit.BTC.Mining","Reuters","South.China.Morning.Post","Twitter","Yahoo.News","Youtube","Zero.Hedge","Wall.Street.Journal","Redit.BTC.Bay","Redit.BTC.Markets","Redit.Crypto","BBC","Google.Plus","India.Economic.Times.","Crypto.Coin.News","Redit.BTC.XT","Fortune","AveragedExchange"
"819",1018,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,0.0550514897170771,-0.0220371170347031,-0.21512134678705,-0.153583092741364,-0.0451675233229424,0.995190412952577,0.631439746693984,0.9266703104019,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,-0.225212312323073,-0.219733656174334,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,-0.00469483568075124,0,0.00928450080992449,-0.0962205063230619,-0.0677966101694916,0,0,0,-0.101694915254237,0,0,-0.368258859784283,0.166480862133036,-0.0147558010665026,-0.0323018919194321,0.0572185131820631,0,-0.0763735363956439,0,-0.0655943704448354,-0.0703440956514686,0,0,0.368863955119215,0.0696596093497719,0,-0.0805084745762712,0,0,0.140096618357488,0,-0.2
"820",1019,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,-0.0942116711228926,0.135222388805597,0.018226343891766,0.074993406873221,0.136151399385891,0.995001290558287,0.558841158841159,0.896661548086219,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,-0.116279069767442,-0.107142857142857,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,-0.00469483568075124,0,-0.0116550116550117,-0.128349788434415,0,0.113636363636364,0,0,0,0,0,-0.0909090909090906,0.038647342995169,0.0697768510161527,0.132446711605028,-0.115022712524335,0.130681818181818,-0.00249780412823886,0,-0.154058808745916,-0.0036665279800292,0,0,-0.216371286497514,0.0544033396988941,0,0,0,0,-0.140096618357488,0,-0.1
"821",1020,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,-0.0335991101966714,-0.0913392141138732,-0.0797955721617384,-0.110332566408701,0.0834767839924986,0.995023306414666,0.526873126873127,0.898253995336404,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,-0.0415457987118346,-0.107142857142857,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,-0.00469483568075124,0,-0.00590881986230829,-0.128349788434415,0,-0.113636363636364,0,0.116279069767442,0,0,0,-0.0909090909090906,0.205128205128205,-0.0875630503903714,0.233401263414779,0.0261194029850746,-0.130681818181818,0.0784443269908386,0,-0.0388493077026483,-0.196770334928229,0,0,0.214349041805906,-0.134997743307124,0,0,0,0,0,0,-0.2
"822",1021,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,0.00434519078341888,0.0958024541919476,-0.226777713087133,-0.0274238041303431,-0.00396452235345091,0.995356008643447,0.516566452415509,0.914608771980654,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,0.0515182746781675,0.0181940700808625,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,-0.00469483568075124,0,-0.0360492220957338,-0.128349788434415,0.150943396226415,0,0,-0.116279069767442,0.113207547169811,0,0,-0.0909090909090906,2.22044604925031e-16,-0.0573431502282049,-0.0165834081502189,0.0261194029850746,0.108490566037736,-0.0380283750182828,0,-0.123218529575136,0.180328608829105,0,0,0.127376183668559,0.0346643264589732,0,0,0,0,0,0,-0.4
"823",1022,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,-0.0846648093716037,-0.097336803296465,-0.10062893081761,-0.0915657145663502,0.0416322377481295,0.995441761274457,0.468048932199876,0.907207755346878,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,-0.180280204413596,-0.232479784366577,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,0.0229525299947833,0,-0.00330225330225342,-0.0230371415138694,-0.0398322851153039,0,0,0,-0.113207547169811,0,0,-0.0909090909090906,0.102564102564103,0.0754716981132075,0.149065426450385,0.0261194029850746,0.0512316561844866,0.107311320754717,0,-0.167411931508343,-0.290376455719057,0,0,-0.33292757151552,-0.00487598049607807,0,0,0,0,0,0,-0.3
"824",1023,1,1,-0.351856946354883,0.527649769585254,1,0.21826280623608,0.273189726620437,1,-0.632508276002601,-0.53337511859191,-0.632508276002601,-0.815455271207267,-0.807262125629459,-0.400135551429502,0.318693284936479,0.318693284936479,0.302822516345079,0.131618519984172,-0.0416496377484672,0.401572428648374,-0.399714009931064,0.401572428648374,0.319791892477781,0.235525450919659,-0.131030027455809,-0.728182189629905,NA,-0.728182189629905,-1,-0.935676382830911,-0.574942745114515,-0.80874394701057,0.330785227427312,-0.80874394701057,-1,-0.572796122871698,-0.203232858819411,0.0290347542962268,0.438050840175092,0.0290347542962268,0.00917822838847404,0.0706368756377185,-0.199533771100586,0.0311141439533231,0.135257799671593,-0.174383326737897,-0.122842733970113,0.036132031613203,0.99466155511287,0.179905808477237,0.893882890129265,-0.654891982482323,-0.594442855637672,-1,0.01949860724234,1,-0.356313694870614,-0.202993389039901,-0.0122448979591837,0.0738553756458666,0.123971146394293,0.101698585639846,0.313767609266285,-0.0323422013562858,0,-0.00135975135975153,-0.23366243535496,-0.111111111111111,0,0,0,0,0,0,-0.0909090909090906,0.102564102564103,0.0283464566929135,-0.189311957247829,0.0261194029850746,-0.159722222222222,-0.0541666666666667,0,-0.0226259289843105,-0.055023923444976,0,0.457142857142857,0.474654377880184,-0.0337078651685394,0,0,0,0,0,0,-0.2
"825",1024,0.0132542037586547,0.0208140610545788,-0.0167812929848694,-0.140552995391705,-0.234772324068598,-0.136971046770601,-0.194085136134163,-0.130885708359262,-0.600205140522246,-0.157601048915761,-0.600205140522246,-0.685338571800182,-0.558229525576467,-0.448036374463085,0.171324863883848,0.171324863883848,0.164088662095359,-0.0152750296794621,0.171688649451978,-0.0694238018309069,-0.397382077766503,-0.0694238018309069,0.125326974492376,-0.294326043604707,-0.0517684767619584,-0.164335891825127,NA,-0.164335891825127,0.0658946440933978,-0.524124114969933,-0.258101752212727,-0.5453021164038,0.0407742704745913,-0.5453021164038,-0.390231739873025,-0.586247710750874,-0.501637857225846,-0.157607642927713,-0.0848579711257661,-0.157607642927713,-0.00411873987114075,-0.0795227650702602,-0.0681005915956824,-0.240615678888826,0.101661740558292,-0.149716396253792,0.0112668200515933,0.139191073919107,0.996360358829711,0.325588697017268,0.911042321723093,-0.24748856213148,-0.075876394177943,-0.222136580854016,0.01949860724234,-0.0207999999999999,-0.0640476870276602,-0.208094231350045,-0.202040816326531,-0.0255008440739857,-0.0827971305367327,-0.0943560939297557,0.173755459015829,-0.00469483568075124,0,-0.0116550116550117,-0.128349788434415,0,0,0,0,0,0.3,0,-0.0909090909090906,0.102564102564103,0.253543307086614,0.19625918503674,0.0261194029850746,0,-0.144444444444444,0,-0.197027250206441,-0.055023923444976,0,-0.457142857142857,-0.410138248847926,0.0651685393258425,0,0,0,0,0,0,-0.4
"826",1025,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,0.207274300841325,-0.0707374961168065,0.0393052332110506,-0.0354368172816197,0.0604063477703645,0.993830065191584,0.177665577665578,0.894684823024697,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,-0.0294268898920063,-0.107142857142857,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,-0.00469483568075124,0,-0.0116550116550117,-0.128349788434415,0,0,0,0,0,-0.3,0,-0.0909090909090906,0.102564102564103,-0.377229197701639,-0.126519706078824,0.0261194029850746,0,0.425525525525525,0,-0.109826589595376,-0.055023923444976,0,0,0.0322580645161292,0.00103249316732468,0,0,0,0,0,0,-0.6
"827",1026,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,-0.110369158014749,0.0456077752629476,-0.234266320138896,-0.148376092948358,0.0238335406536243,0.995444799950192,0.508048708048708,0.934638955625135,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,0.0723142351049328,-0.107142857142857,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,-0.00469483568075124,0,0.157775557775558,-0.128349788434415,0,0,0,0,0,0,0,-0.0909090909090906,0.102564102564103,0.147307937859119,0.400400801603206,0.0261194029850746,0,-0.281081081081081,0,-0.0226259289843105,-0.055023923444976,0,0,0.253456221198157,-0.0324931673246279,0,0,0,0,0,0,-0.4
"828",1027,-0.0888229475766568,-0.080481036077706,0.0178817056396148,-0.209677419354839,-0.362507392075695,-0.173719376391982,-0.242423915039812,-0.247873885086082,-0.596863436851865,-0.11872786929409,-0.596863436851865,-0.671878223585657,-0.532467532467528,-0.452991632018271,0.156079854809437,0.156079854809437,0.149736884069525,-0.0304709141274235,0.193758127438232,-0.118147549811519,-0.397140843404652,-0.118147549811519,0.105209914011127,-0.349138267176184,-0.04356900600053,-0.106006964466013,NA,-0.106006964466013,0.176159607275474,-0.48154974243259,-0.225325097774611,-0.518049513237583,0.0107731369967237,-0.518049513237583,-0.327152264687476,-0.587639254324581,-0.532507339819615,-0.176915477123293,-0.138951986087924,-0.176915477123293,-0.00549428831179066,-0.0950565210055683,-0.0545040557848304,-0.0286036346654919,-0.0706550676029767,-0.0583345261249428,0.017501521028336,-0.0359975073444316,0.994709641246927,0.459340659340659,0.92627550063468,-0.205343380715876,-0.02223158782004,-0.14166795128719,0.01949860724234,-0.1264,-0.0338132724232165,-0.186605576511564,-0.0364741641337386,-0.0357790737001773,-0.104186952288218,-0.114637612505921,0.159271443472679,-0.00469483568075124,0.053191489361702,-0.139028347538986,-0.168682291510368,0.170212765957447,0,0,0,0,0,0.212765957446809,-0.0909090909090906,0.196399345335516,-0.180298207404926,-0.171432226154437,0.0261194029850746,0,0.0138297872340425,0,-0.00221726373491238,-0.055023923444976,0,0,0.0581429551916854,0.0800860626344728,0,0,0,0,0,0,-0.5
