,date,bid,ask,price,vol,technical,sentiment,consensusOneDay,riskBTC,riskUSD,btcXaction,usdXaction,walletBTC,walletUSD,walletValue,delta,rangerWeight,rfWeight,gbmWeight,svmWeight,h2oWeight,lstmWeight,"rangerOneMeanMean,lstmOneMean",rfOneMean,gbmOneMean,svmOneMean,h2oOneMean,lstmOneMean
1,3/1/2018 17:20,10733.25,10733.26,10733.25,13483.74602,1,1,5,0.1,0.1,0.1,-1000,5.1,2000,56739.575,0,10,10,10,10,10,10,1,1,1,1,1,1
2,3/1/2018 17:20,10733.25,10733.26,10733.25,13483.74602,1,1,5,0.1,0.1,0.001,-10,5.101,1990,56740.30825,0,10,10,10,10,10,10,1,1,1,1,1,1
3,3/1/2018 17:21,10730.99,10731,10730.99,13483.74602,1,1,5,0.1,0.1,0.001,-10,5.102,1980,56729.51098,0,10,10,10,10,10,10,1,1,1,1,1,1
4,3/1/2018 17:24,10730.9,10730.91,10730.9,13458.83401,1,1,5,0.1,0.1,0.001,-10,5.103,1970,56729.7827,-10.79727,10,10,10,10,10,10,1,1,1,1,1,1
5,3/1/2018 17:24,10730.9,10730.91,10730.9,13458.83401,1,1,5,0.1,0.1,0.001,-10,5.104,1960,56730.5136,0.27172,10,10,10,10,10,10,1,1,1,1,1,1
6,3/1/2018 17:24,10730.9,10730.91,10730.91,13458.83401,1,1,5,0.1,0.1,0.001,-10,5.105,1950,56731.29555,0.7309,10,10,10,10,10,10,1,1,1,1,1,1
7,3/1/2018 18:58,10928.99,10929,10928.99,14482.21982,-1,0.5,3,0.01,0.01,0.001784245,-19.5,5.106784245,1930.5,57742.49395,1011.98035,10,10,10,10,10,10,1,1,1,1,1,1
8,3/1/2018 18:58,10928.99,10929,10928.99,14482.21982,-1,0.5,3,0.01,0.01,0.001766403,-19.305,5.108550648,1911.195,57742.49395,1011.1984,10,10,10,10,10,10,1,1,1,1,1,1
9,3/1/2018 18:59,10929.99,10930,10930,14492.6779,-1,0.5,3,0.01,0.01,0.001748577,-19.11195,5.110299226,1892.08305,57747.65359,5.159636155,10,10,10,10,10,10,1,1,1,1,1,1
10,3/1/2018 18:59,10929.99,10930,10929.99,14492.6779,-1,0.5,3,0.01,0.01,0.001731093,-18.9208305,5.112030319,1873.16222,57747.60248,5.108533163,10,10,10,10,10,10,1,1,1,1,1,1
